model,model_date,location_name,ihme_loc_id,date,deaths,lower,upper
delphi,2020-07-07,Afghanistan,AFG,2020-07-07,766,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-08,776,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-09,785,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-10,794,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-11,802,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-12,810,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-13,818,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-14,826,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-15,834,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-16,841,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-17,848,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-18,855,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-19,862,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-20,869,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-21,875,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-22,881,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-23,887,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-24,892,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-25,898,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-26,903,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-27,908,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-28,913,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-29,918,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-30,922,,
delphi,2020-07-07,Afghanistan,AFG,2020-07-31,927,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-01,931,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-02,935,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-03,938,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-04,942,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-05,946,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-06,949,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-07,952,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-08,955,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-09,958,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-10,961,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-11,964,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-12,966,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-13,969,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-14,971,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-15,973,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-16,976,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-17,978,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-18,980,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-19,981,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-20,983,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-21,985,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-22,986,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-23,988,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-24,989,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-25,991,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-26,992,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-27,993,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-28,994,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-29,996,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-30,997,,
delphi,2020-07-07,Afghanistan,AFG,2020-08-31,998,,
delphi,2020-07-07,Afghanistan,AFG,2020-09-01,999,,
delphi,2020-07-07,Afghanistan,AFG,2020-09-02,999,,
delphi,2020-07-07,Afghanistan,AFG,2020-09-03,1000,,
delphi,2020-07-07,Afghanistan,AFG,2020-09-04,1001,,
delphi,2020-07-07,Afghanistan,AFG,2020-09-05,1002,,
delphi,2020-07-07,Afghanistan,AFG,2020-09-06,1003,,
delphi,2020-07-07,Afghanistan,AFG,2020-09-07,1003,,
delphi,2020-07-07,Afghanistan,AFG,2020-09-08,1004,,
delphi,2020-07-07,Afghanistan,AFG,2020-09-09,1004,,
delphi,2020-07-07,Afghanistan,AFG,2020-09-10,1005,,
delphi,2020-07-07,Afghanistan,AFG,2020-09-11,1006,,
delphi,2020-07-07,Afghanistan,AFG,2020-09-12,1006,,
delphi,2020-07-07,Afghanistan,AFG,2020-09-13,1007,,
delphi,2020-07-07,Afghanistan,AFG,2020-09-14,1007,,
delphi,2020-07-07,Afghanistan,AFG,2020-09-15,1007,,
delphi,2020-07-07,Alabama,USA_523,2020-07-07,1200,,
delphi,2020-07-07,Alabama,USA_523,2020-07-08,1226,,
delphi,2020-07-07,Alabama,USA_523,2020-07-09,1252,,
delphi,2020-07-07,Alabama,USA_523,2020-07-10,1279,,
delphi,2020-07-07,Alabama,USA_523,2020-07-11,1306,,
delphi,2020-07-07,Alabama,USA_523,2020-07-12,1333,,
delphi,2020-07-07,Alabama,USA_523,2020-07-13,1360,,
delphi,2020-07-07,Alabama,USA_523,2020-07-14,1388,,
delphi,2020-07-07,Alabama,USA_523,2020-07-15,1416,,
delphi,2020-07-07,Alabama,USA_523,2020-07-16,1444,,
delphi,2020-07-07,Alabama,USA_523,2020-07-17,1473,,
delphi,2020-07-07,Alabama,USA_523,2020-07-18,1501,,
delphi,2020-07-07,Alabama,USA_523,2020-07-19,1530,,
delphi,2020-07-07,Alabama,USA_523,2020-07-20,1560,,
delphi,2020-07-07,Alabama,USA_523,2020-07-21,1589,,
delphi,2020-07-07,Alabama,USA_523,2020-07-22,1619,,
delphi,2020-07-07,Alabama,USA_523,2020-07-23,1649,,
delphi,2020-07-07,Alabama,USA_523,2020-07-24,1679,,
delphi,2020-07-07,Alabama,USA_523,2020-07-25,1710,,
delphi,2020-07-07,Alabama,USA_523,2020-07-26,1740,,
delphi,2020-07-07,Alabama,USA_523,2020-07-27,1771,,
delphi,2020-07-07,Alabama,USA_523,2020-07-28,1802,,
delphi,2020-07-07,Alabama,USA_523,2020-07-29,1834,,
delphi,2020-07-07,Alabama,USA_523,2020-07-30,1865,,
delphi,2020-07-07,Alabama,USA_523,2020-07-31,1897,,
delphi,2020-07-07,Alabama,USA_523,2020-08-01,1929,,
delphi,2020-07-07,Alabama,USA_523,2020-08-02,1961,,
delphi,2020-07-07,Alabama,USA_523,2020-08-03,1994,,
delphi,2020-07-07,Alabama,USA_523,2020-08-04,2026,,
delphi,2020-07-07,Alabama,USA_523,2020-08-05,2059,,
delphi,2020-07-07,Alabama,USA_523,2020-08-06,2092,,
delphi,2020-07-07,Alabama,USA_523,2020-08-07,2125,,
delphi,2020-07-07,Alabama,USA_523,2020-08-08,2159,,
delphi,2020-07-07,Alabama,USA_523,2020-08-09,2192,,
delphi,2020-07-07,Alabama,USA_523,2020-08-10,2226,,
delphi,2020-07-07,Alabama,USA_523,2020-08-11,2260,,
delphi,2020-07-07,Alabama,USA_523,2020-08-12,2294,,
delphi,2020-07-07,Alabama,USA_523,2020-08-13,2328,,
delphi,2020-07-07,Alabama,USA_523,2020-08-14,2362,,
delphi,2020-07-07,Alabama,USA_523,2020-08-15,2397,,
delphi,2020-07-07,Alabama,USA_523,2020-08-16,2431,,
delphi,2020-07-07,Alabama,USA_523,2020-08-17,2466,,
delphi,2020-07-07,Alabama,USA_523,2020-08-18,2501,,
delphi,2020-07-07,Alabama,USA_523,2020-08-19,2536,,
delphi,2020-07-07,Alabama,USA_523,2020-08-20,2571,,
delphi,2020-07-07,Alabama,USA_523,2020-08-21,2606,,
delphi,2020-07-07,Alabama,USA_523,2020-08-22,2641,,
delphi,2020-07-07,Alabama,USA_523,2020-08-23,2676,,
delphi,2020-07-07,Alabama,USA_523,2020-08-24,2711,,
delphi,2020-07-07,Alabama,USA_523,2020-08-25,2747,,
delphi,2020-07-07,Alabama,USA_523,2020-08-26,2782,,
delphi,2020-07-07,Alabama,USA_523,2020-08-27,2818,,
delphi,2020-07-07,Alabama,USA_523,2020-08-28,2853,,
delphi,2020-07-07,Alabama,USA_523,2020-08-29,2889,,
delphi,2020-07-07,Alabama,USA_523,2020-08-30,2925,,
delphi,2020-07-07,Alabama,USA_523,2020-08-31,2960,,
