location_name,date,deaths,lower,upper,model_date,model
Algeria,2020-03-12,1,,,2020-06-23,yyg
Algeria,2020-03-13,2,,,2020-06-23,yyg
Algeria,2020-03-14,3,,,2020-06-23,yyg
Algeria,2020-03-15,4,,,2020-06-23,yyg
Algeria,2020-03-16,4,,,2020-06-23,yyg
Algeria,2020-03-17,4,,,2020-06-23,yyg
Algeria,2020-03-18,7,,,2020-06-23,yyg
Algeria,2020-03-19,9,,,2020-06-23,yyg
Algeria,2020-03-20,11,,,2020-06-23,yyg
Algeria,2020-03-21,15,,,2020-06-23,yyg
Algeria,2020-03-22,17,,,2020-06-23,yyg
Algeria,2020-03-23,17,,,2020-06-23,yyg
Algeria,2020-03-24,19,,,2020-06-23,yyg
Algeria,2020-03-25,21,,,2020-06-23,yyg
Algeria,2020-03-26,25,,,2020-06-23,yyg
Algeria,2020-03-27,26,,,2020-06-23,yyg
Algeria,2020-03-28,29,,,2020-06-23,yyg
Algeria,2020-03-29,31,,,2020-06-23,yyg
Algeria,2020-03-30,35,,,2020-06-23,yyg
Algeria,2020-03-31,44,,,2020-06-23,yyg
Algeria,2020-04-01,58,,,2020-06-23,yyg
Algeria,2020-04-02,86,,,2020-06-23,yyg
Algeria,2020-04-03,105,,,2020-06-23,yyg
Algeria,2020-04-04,130,,,2020-06-23,yyg
Algeria,2020-04-05,152,,,2020-06-23,yyg
Algeria,2020-04-06,173,,,2020-06-23,yyg
Algeria,2020-04-07,193,,,2020-06-23,yyg
Algeria,2020-04-08,205,,,2020-06-23,yyg
Algeria,2020-04-09,235,,,2020-06-23,yyg
Algeria,2020-04-10,256,,,2020-06-23,yyg
Algeria,2020-04-11,275,,,2020-06-23,yyg
Algeria,2020-04-12,293,,,2020-06-23,yyg
Algeria,2020-04-13,313,,,2020-06-23,yyg
Algeria,2020-04-14,326,,,2020-06-23,yyg
Algeria,2020-04-15,336,,,2020-06-23,yyg
Algeria,2020-04-16,348,,,2020-06-23,yyg
Algeria,2020-04-17,364,,,2020-06-23,yyg
Algeria,2020-04-18,367,,,2020-06-23,yyg
